,review
10,"Finally got to see my most anticipated film of the year and I'm happy to tell you it's everything I wished for and more. Flanagan has done an amazing job adapting the book from Stephen King and giving lovers of the Kubrick film adaptation of ""The Shining"" (1980) a cinematic sequel.
Now i read the book and while I enjoyed it for the most part, I found parts of it underwhelming. I feel in this film adaptation, Flanagan takes elements from the novel and manages to make them more darker and serious which in turn really helped address some issues I had with the book. He does make some serious changes though and while I embraced them I'm not sure how others who read the book will feel about them. ""The Shining"" (1980) to me and I'm sure a lot of you, is a masterpiece in filmmaking. I for one prefer it over the novel and with this film, it most certainly feels like a sequel to Stanley Kubrick's version and a love letter to that film. The last 30 mins or so are absolutely amazing and kudos to Flanagan for pulling it off.
Ewan McGregor does a great job as an adult Danny Torrance and Rebecca Ferguson captivates as Rose the Hat. The film sets a great tone with some stunning visuals and the score completely grabs you. How much you enjoy this film really depends on what you want out of it. There's practically no gore here and no cheap jump scares. What you'll get though is expert filmmaking from someone who you can tell really loves the source material he's pulling it all in from. Everything struck a balance for me that I was tremendously pleased with, top horror film of the year."
11,"I'll be honest, when I went into to cinema to watch this movie I was expecting to not like it. I had seen a little bit of the trailer and it did not really ""speak"" to me and Alita's eyes were off putting. When the movie had begun I was actually searching for things to dislike but surprisingly there were none apart from a few cringeworthy moments. I quickly got used to Alita's eyes and they became in fact likeable. The story began to draw me in and I got completely absorbed into the story and the visuals.The world is extraordinary and beautiful and the action scenes in this movie are fantastic, quite honestly some of the best I have seen. The story is a bit fast paced but not to a degree that it feels rushed. Alita as a character is great, she is kind-hearted, innocent, naive and protective. Throughout the movie Alita grows as a person and learns about sacrifice, loss, love and the horrors of the human mind. Alita is very likeable because she is such a good person in such a horrible world and you can't help feeling very sympathetic for an innocent being like her as she is exposed to the cruel world of Iron City.I watched this movie without knowing the source material and I loved it. I was drawn in very early on and had to watch it a second time. I can definitely recommend this movie to anyone."
12,"Let me first say, this is not a ""bad"" movie. It utilizes creative camera work and cinematography to add to the narrative. But I personally still didn't like it. Its main goal in my opinion is to disturb the viewer as much as possible through the use of sound, gory visuals and the feeling of isolation and insanity. While I can see how this can speak to a certain audience, it didn't appeal to me and made me want to turn of the movie quite a few times. If you are into these kinds of films, definitely give this a try but if you, like me, enjoy being scared by a horror movie instead of weirded out and disturbed, this might not be for you."
13,"The Devil All the Time is a slow burn, thriller and melodrama with outstanding acting, exceptional editing, and precise cinematography. I love the focus on the theme of evil disguised as good. The film focuses on people who are thinking they are doing good under the guise of religion, God, and divine right instead of the harsh reality that they are terrible people committing terrible atrocities. Unfortunately, this is true to life. Obviously, this isn't saying all religious people are evil. It's more so that people are using religion as an excuse to commit crimes. The performances are all really good, and provide a look into the minds of sick, vile humans. The film is deeply disturbing because of how true to life it is and how it focuses on real life themes. It's extremely well crafted, and I love how it's presented, using voice over narration to dictate the flow of the film. The plot is a little convoluted, and the story could've been more thought out. Get ready for a slow descent into disturbing madness. This is one for the ages."
14,"I really enjoyed the first 2/3 of this film. They are filled with palpable tension and a general unease at not being able to see the ""monster."" This is another example of how what you cannot see is often scarier than what you can see. The direction is great and perfectly places the viewer in Elizabeth Moss' shoes, which is what generates most of the tension as you the viewer are also unsure where this invisible person is at all times. The spin of domestic violence also lends a new, modern twist on the classic premise.Where the film falters is in its third act with some significant plot holes regarding cameras and visibility of certain actions. There were also several times where the film felt like it was at its conclusion, but kept going. The ending will likely be divisive, however I didn't hate it. The Invisible Man is technically a very well-made thriller, but loses a few marks due to some issues with the plot."
15,"I think this movie was very interesting and full of interesting symbolism. I definitely recommend watching this movie.I have read a lot of different understandings of this movie, but I think that a lot of people maybe misunderstood the role of Miharu. So this is my analysis of the movie:In general, the facility represents society. The levels represent society classes and hierarchies. The protagonist, Goreng, represents a resistance movement who is ready to use threats and violence to secure that there is enough food for everybody. The old man, Trimagasi, represents a supporter of the system. The woman from the administration, Imoguiri, represents a peaceful movement that wants change but is unable to do so. Miharu who rides down the platform actually represents the upper class (se explanation further below).The cellmates believe that the change of levels each month is random. However, the administration does not randomly choose the levels for all prisoners each month. The administration choses if each prisoner should go up or down the levels each month based on whether they have eaten their cellmates or not. If a prisoner is willing to kill his or her cellmate and eat of them then he or she is secured a higher level the next month. This is evidenced a couple of times in the movie: At first Goreng starts on level 48 with Trimagasi and they live peacefully. Then they move down to level 171 the following month where Goreng ends up killing Trimagasi and eats of him to survive. Then Goreng moves up to level 33 the next month where he meets Imoguiri and they live peacefully. Then they move down to level 202 where Goreng is forced to eat of Imoguiri who has killed herself. Then Goreng finally moves up to level 6 where he meets Baharat.The woman Miharu who rides down the platform actually represents the upper class of society because she knows how to exploit the system. Notice that she always rides down the platform and comes from the top floors and she is always bloodied and emotionless. That is because she always makes sure to kill and eat her cellmates every month, and that's why she always ends on the top floors. Miharu rides down the platform to make sure that there is food for the little girl (which we assume is her daughter) on the bottom floor. The girl is always on the bottom floor month after month, because she has never killed and eaten her cellmate. Miharu rides down the platform once a month so she has to make sure that there is enough food for the girl because she cannot get up again until the month is over (the platform only travels back up to level zero, which prisoners presumably are not allowed to enter). That's why she killed so many prisoners on her way down. Miharu must have a good reason to ride down the platform every month and that was to take care of the little girl. Miharu has managed to stay on top and alive for long because she knows the system. However, even she succumbs to the system when she is killed in a fight with the prisoners.Notice that we learn from Imoguiri that she selected Miharu to enter the facility 10 months ago, that she entered alone, and that nobody under 16 years is allowed in the facility. However, we cannot trust Imoguiri's information because she also said that there are 200 levels, which turned out to be false, and the prohibition against under 16 year olds to enter the facility also turned out to be false. So the question of how the little girl ended in the facility remains unanswered. Perhaps the little girl was born in the facility or she was thrown in there with her mother.The movie hints that there is actually enough food for everybody on all floors because the administration puts every prisoner's requested food on the table. This is evidenced when the protagonist is interviewed by the administration official about his favorite food (snails) and that it will be served while he is imprisoned. We also see that the protagonist sees his requested food for the first time when he is on floor no. 6 because none from the upper floors has touched it yet (but he doesn't eat it). He did not get to see his requested food before because those on the upper floors always ate it before it arrived to him. If every prisoner in the facility kept his or her requested food when it arrived at his or her floor, the floor will not turn hot or cold. This is evidenced by one of the last scenes when the protagonist keeps the Panna Cotta when he is at the girl's floor, which must be the favorite food of the girl. All the prisoners had to do was to take their requested food, and not eat the others' food, so the food would be equally distributed all the way to floor no. 333. However, the prisoners from the upper floors greedily ate more than their favorite food leaving less to the ones on the lower levels. So the main message of the movie is that people are very greedy and are ready to take more than they need, and not so much that the system is flawed. We see that the alternative system that the protagonist tries to enforce by distributing little food to everybody also leads to violence and deaths and is not much better.The end of the movie is quite vague, but it does have a meaning. At the end, we don't see what happens to the protagonist, but it is hinted that the protagonist probably dies. Notice that he was heavily injured and barely got on the platform with the girl, when they reached the bottom, then he suddenly he gets off and walks normally when he sees the ghost of Trimagasi. The girl transports upwards to the top floor at the end of the movie. The protagonist is trying to send a message to the administration by transporting the girl to the top. Perhaps the message is to show that despite that most people are greedy, there are also some people who are willing to show benevolence and generosity to save others.I think this movie was very interesting. The movie is open to interpretation, and this is of course my point of view and I hope you found this helpful."
16,Movie that takes place in the 30s it was truly well done and very well thought out. This movie created the mystery of bonnie and clyde and the drama and havoc the created throughout the south. The true story of these 2 retired rangers made this all the more appealing. Kevin costner was a magnificent choice for haymer! Harrelson was perfect as his partner. I really enjoyed the big names in this movie down to Kathy bates. Very happy with the detail this film portrayed.
17,"People rating this movie a 1 or 2 are simply just wrong. Your reasons for a low rating like that is just ridiculous. It's a comedy horror and clearly states that and the trailer clearly shows you that. Sooooo why moan about it having comedic moments in the movie? Just plain dumb.This is a comedy horror done right, it's dark humour breaks up the gore and violence up perfectly. The characters are perfect from the creepy over the top aunt to the leading protagonist Samara weaving. Acting is on point and the movie never slows up(dig to the crazy person saying it's boring)The movie actually has an ending, and what a great ending too. The movie delivers on everything they intended to give you and more.Sooo don't listen to the non constructive low critics and make your own decision and go watch"
18,"Spoilers Ahead, DO NOT CONTINUE!!Look, it's an interesting film that's an ok way to kill 2 hours. But the ending complete ruins the entire premise of the film.The mother we believe to be the good mother is actually the ""evil"" version (who swapped identities in the beginning of the film unbeknownst to the audience).1. The original premise - that the mother does not remember what happened in the mirror house, is perfectly logical. She has amnesia due to fear. However, the amnesia and fear does not hold up if the mother was the evil version all along. There should be no amnesia and the only reason for it is to deliberately trick the audience.2. If the mom was the evil version all along, she shouldn't be scared of a ""shadow"" of herself as she claims. Sure she could be scared (of being revealed to be a fraud by the true her) but not of a shadow. Again, purposeful misleading to set up the twist.3. Why does the good version go insane and deciude the only way to get revenge on her evil self is to raise an army of evil duplicates that murder their good halves? Again, contrived and makes no sense.4. Why didn't/ couldn't the good version of the girl use the escalators to escape the evil realm? This really doesn't make sense.5. How the hell did all of the evil versions have enough food/ water to survive?6. Surely not every single copy of everyone in the world was stored in the one bunker shown. So how did the ""Good"" girl convince all of the evil copies (of all the rest of the world) to arise??There are probably many many MANY more issues with this film. But god does it destroy itself trying way too hard to set up a profound twist that is just completely illogical."
19,"Tyler Rake (Chris Hemsworth) is tasked with extracting the son of a druglord amids an all-out drug war. Battling hostiles and a troubled past along the way.Thank you Jon Wick for upping the game for action films! Extraction excels in its action set pieces. Long, gorgeous takes with brutally grounded fight scenes, showcase the vicious nature of warfare. Hemsworth carries this entire film on his shoulders and has the daunting task of elevating the paper thin narrative to an acceptable level. Thankfully, he succeeds. Thor can act darn it, and in this film he proves it yet again.Like Jon Wick before him, seeing Hemsworth kicking ass in amazingly choreographed fight scenes, is exhilarating. The film is unapologetically honest in its depiction of violence and its consequences. Riding on fantastic sound design, every impact, bullet wound and car crash pulls you in deeper and deeper in the film."
